nombre,codigo,descripcion,url
Eau de Toilette Masculino Kaiak Aero 100 ml,NATCHL-111174,No disponible,https://www.natura.cl/p/kaiak-aero-eau-de-toilette-masculino/NATCHL-111174?position=1&listTitle=category+page+list+showcase+-+nuestros+productos
Protector térmico Finalizador Lumina 150ml,NATCHL-148459,No disponible,https://www.natura.cl/p/protector-termico-150-ml/NATCHL-148459?position=2&listTitle=category+page+list+showcase+-+nuestros+productos
Desodorante Antitranspirante Roll-on Erva Doce,NATCHL-189412,No disponible,https://www.natura.cl/p/desodorante-antitranspirante-roll-on-erva-doce-70-ml/NATCHL-189412?position=3&listTitle=category+page+list+showcase+-+nuestros+productos
Body Splash Tododia Cereza Negra y Praliné 200 ml,NATCHL-174618,No disponible,https://www.natura.cl/p/body-splash-tododia-cereza-negra-y-praline-200-ml/NATCHL-174618?position=4&listTitle=category+page+list+showcase+-+nuestros+productos
Body Splash Tododia cereza y avellana,NATCHL-95841,No disponible,https://www.natura.cl/p/body-splash-tododia-cereza-y-avellana-200-ml/NATCHL-95841?position=5&listTitle=category+page+list+showcase+-+nuestros+productos
Crema Hidratante para Manos Ekos Castaña,NATCHL-70983,No disponible,https://www.natura.cl/p/crema-hidratante-para-manos-ekos-castana-75-g/NATCHL-70983?position=6&listTitle=category+page+list+showcase+-+nuestros+productos
Eau de Parfum Masculino Homem Identidad 100 ml,NATCHL-200122,No disponible,https://www.natura.cl/p/perfume-natura-homem-identidad-100-ml/NATCHL-200122?position=7&listTitle=category+page+list+showcase+-+nuestros+productos
Repuesto Crema nutritiva para cuerpo Tododia cereza y avellana,NATCHL-100605,No disponible,https://www.natura.cl/p/repuesto-crema-nutritiva-para-cuerpo-tododia-cereza-y-avellana-400-ml/NATCHL-100605?position=8&listTitle=category+page+list+showcase+-+nuestros+productos
Desodorante Antitranspirante Roll-on Tododia Algodón,NATCHL-189401,No disponible,https://www.natura.cl/p/desodorante-antitranspirante-roll-on-tododia-algodon-70-ml/NATCHL-189401?position=9&listTitle=category+page+list+showcase+-+nuestros+productos
Eau de Toilette Femenino Kaiak Aero 100 ml,NATCHL-111178,No disponible,https://www.natura.cl/p/eau-de-toilette-kaiak-aero-femenino-100-ml/NATCHL-111178?position=10&listTitle=category+page+list+showcase+-+nuestros+productos
Eau de Parfum Masculino Homem Potence 100ml,NATCHL-81950,No disponible,https://www.natura.cl/p/homem-potence-edp-masculino-homem-100ml/NATCHL-81950?position=11&listTitle=category+page+list+showcase+-+nuestros+productos
Desodorante Antitranspirante Roll-on Tododia Avellana y Cassis,NATCHL-189408,No disponible,https://www.natura.cl/p/desodorante-antitranspirante-roll-on-tododia-avellana-y-cassis-70-ml/NATCHL-189408?position=12&listTitle=category+page+list+showcase+-+nuestros+productos
