nombre,codigo,descripcion,url
Eau de Toilette Masculino Kaiak Aero 100 ml,NATCHL-111174,"• fragancia moderna | • una explosión refrescante de notas tónicas | • combinadas con el poder de notas verdes, como enebro y ruibarbo | • familia olfativa: aromática | • ocasión: uso diario, para salir",https://www.natura.cl/p/kaiak-aero-eau-de-toilette-masculino/NATCHL-111174
Protector térmico Finalizador Lumina 150ml,NATCHL-148459,"• nuevo envase y mucha más tecnología | • perfecto para quienes usan secador, plancha u otras fuentes de calor | • fórmula que protege hasta 230°C | • mantiene el peinado durante todo el día | • 85% más definición | • hidratación inmediata | • 5 veces menos frizz* | • cabello 2 veces más suave | • 2 veces más brillo | • protege la fibra capilar contra la pérdida de humedad natural* | • nueva fragancia | • fórmula con BioProteína de triple acción + complejo | • con chía y linaza | • producto vegano",https://www.natura.cl/p/protector-termico-150-ml/NATCHL-148459
Desodorante Antitranspirante Roll-on Erva Doce,NATCHL-189412,protege las axilas y perfuma con la icónica fragancia de Natura Erva Doce.• alta protección por hasta 72 horas • cuida la piel con activos naturales • tecnología invisible que no mancha ropa clara ni oscura • bioinnovación: combina lo mejor de la ciencia y la naturaleza • fragancia fresca y natural.,https://www.natura.cl/p/desodorante-antitranspirante-roll-on-erva-doce-70-ml/NATCHL-189412
Body Splash Tododia Cereza Negra y Praliné 200 ml,NATCHL-174618,"transborda tu sensualidad con la fragancia marcante de Cereza Negra y Praliné.• body splash que promueve sensación de frescura y ligereza • posee acción desodorante para el cuerpo • perfumación ligera que mantiene la hidratación de la piel a lo largo del día • fragancia frutal dulce • notas jugosas de cereza negra marcan la salida y revelan el cuerpo floral envolvente de rosa y jazmín. el fondo trae la intensidad de las notas amaderadas de sándalo, envuelto por la dulzura del acorde de praliné.",https://www.natura.cl/p/body-splash-tododia-cereza-negra-y-praline-200-ml/NATCHL-174618
Body Splash Tododia cereza y avellana,NATCHL-95841,"• combinación de notas sorprendentes, traducidas en fragancias irresistibles | • sensación de frescura y ligereza | • hidrata la piel durante todo el día | • 95% de ingredientes naturales | • fragancia dulce y afrutada que atrae y deja huella | • notas de cereza, mora y granada combinadas con flor de ciruelo y avellana | • fondo envolvente que aporta acordes de castaña, almendras y vainilla | • familia olfativa: dulce | • cruelty free | • vegano | • tipo de piel: todo tipo de piel | • subfamilia: afrutada",https://www.natura.cl/p/body-splash-tododia-cereza-y-avellana-200-ml/NATCHL-95841
Crema Hidratante para Manos Ekos Castaña,NATCHL-70983,"48 horas de hidratación para las manos y uñas con el poder antirresequedad de la castaña.• crema de manos hecha con aceite bruto de castaña, rico en omegas 6 y 9 • promueve nutrición intensa • combate los signos de resequedad • hidrata inmediatamente • ayuda a potenciar el brillo de las uñas • textura cremosa de rápida absorción • nuevo empaque 100% aluminio reciclado • la línea Ekos Castaña contribuye a la regeneración de la Amazonía y ayuda a fortalecer el ingreso de 689 familias guardianas de la selva vinculadas a la cosecha sustentable• 97% de origen natural.",https://www.natura.cl/p/crema-hidratante-para-manos-ekos-castana-75-g/NATCHL-70983
Eau de Parfum Masculino Homem Identidad 100 ml,NATCHL-200122,una invitación para expresar la fuerza de tu identidad•una fragancia intensa y sofisticada para celebrar la fuerza de la identidad masculina •aporta la intensidad de notas licorosas de frutos negros combinada con una mezcla exclusiva de maderas latinoamericanas •una opción distintiva con toques que evocan aromas nocturnos como la mora negra •tiene un diseño moderno e imponente en un empaque totalmente negro con letras holográficas que resaltan,https://www.natura.cl/p/perfume-natura-homem-identidad-100-ml/NATCHL-200122
Repuesto Crema nutritiva para cuerpo Tododia cereza y avellana,NATCHL-100605,"• contiene activos: manteca de cacao, prebiótico y aceite de linaza | • combinación equilibrada de ingredientes naturales | • nutrición probiótica que se adapta a tu piel | • 94% de origen natural | • crea una barrera de protección | • deja la piel fuerte y protegida de los daños externos | • estimula la producción de elastina | • combate la resequedad | • acelera la renovación celular | • piel más saludable e iluminada | • fragancia atractiva e intensa | • testado dermatológicamente | • cruelty free | • vegano | • tipo de piel: todo tipo de piel",https://www.natura.cl/p/repuesto-crema-nutritiva-para-cuerpo-tododia-cereza-y-avellana-400-ml/NATCHL-100605
Desodorante Antitranspirante Roll-on Tododia Algodón,NATCHL-189401,"protege las axilas y perfuma con la icónica fragancia de algodón. • alta protección por hasta 72 horas • cuida la piel con activos naturales • tecnología invisible que no mancha la ropa clara y oscura • bioinnovación: combina lo mejor de la ciencia y la naturaleza • fragancia suave y confortable, con notas florales inspiradas en leche de algodón.",https://www.natura.cl/p/desodorante-antitranspirante-roll-on-tododia-algodon-70-ml/NATCHL-189401
Eau de Toilette Femenino Kaiak Aero 100 ml,NATCHL-111178,"la frescura del mar en una fragancia única• el encuentro del viento con el agua del mar cobra vida en Kaiak Aero Femenino • esta fragancia combina el inédito acorde tónico con la lavanda y la peonía, resultando en una explosión de frescura y feminidad • perfecta para mujeres que buscan una experiencia única, refrescante y envolvente • vidrio reciclado: con nuestros envases de vidrio reciclado de alta calidad evitamos el descarte equivalente a 1.6 millones de botellas de perfume al año",https://www.natura.cl/p/eau-de-toilette-kaiak-aero-femenino-100-ml/NATCHL-111178
